Time,Heart Rate (bpm),Body Temperature (°C),Barking Volume (dB),Weather
00:00,75,38.5,5,Sunny
00:05,75,38.6,6,Cloudy
00:10,75,38.6,7,Clear
00:15,76,38.7,7,Sunny
00:20,76,38.8,8,Cloudy
00:25,76,38.8,8,Sunny
00:30,77,38.9,9,Partly Cloudy
00:35,77,38.9,10,Sunny
00:40,77,39.0,11,Cloudy
00:45,77,39.1,11,Cloudy
00:50,78,39.1,12,Clear
00:55,78,39.2,13,Partly Cloudy
01:00,78,39.2,13,Cloudy
01:05,79,39.3,14,Clear
01:10,79,39.4,15,Clear
01:15,79,39.4,15,Partly Cloudy
01:20,79,39.5,16,Sunny
01:25,80,39.5,17,Sunny
01:30,80,39.6,18,Cloudy
01:35,80,39.7,18,Partly Cloudy
01:40,81,39.7,19,Clear
01:45,81,39.8,19,Cloudy
01:50,81,39.8,20,Sunny
01:55,82,39.9,21,Clear
02:00,82,39.9,21,Partly Cloudy
02:05,82,40.0,22,Partly Cloudy
02:10,82,40.0,23,Cloudy
02:15,83,40.1,23,Sunny
02:20,83,40.1,24,Cloudy
02:25,83,40.2,25,Clear
02:30,84,40.2,26,Sunny
02:35,84,40.3,27,Clear
02:40,84,40.4,28,Cloudy
02:45,84,40.4,29,Sunny
02:50,85,40.5,29,Clear
02:55,85,40.5,30,Partly Cloudy
03:00,85,40.6,30,Cloudy
03:05,86,40.6,31,Sunny
03:10,86,40.7,31,Clear
03:15,86,40.7,32,Sunny
03:20,86,40.8,33,Partly Cloudy
03:25,86,40.9,33,Partly Cloudy
03:30,87,40.9,34,Cloudy
03:35,87,41.0,34,Cloudy
03:40,87,41.0,35,Clear
03:45,87,41.1,36,Clear
03:50,88,41.1,37,Cloudy
03:55,88,41.2,38,Partly Cloudy
04:00,88,41.3,38,Clear
04:05,89,41.3,39,Partly Cloudy
04:10,89,41.4,40,Partly Cloudy
04:15,89,41.4,41,Clear
04:20,89,41.5,42,Clear
04:25,90,41.5,42,Partly Cloudy
04:30,90,41.6,43,Sunny
04:35,90,41.6,43,Partly Cloudy
04:40,91,41.7,44,Partly Cloudy
04:45,91,41.7,45,Partly Cloudy
04:50,91,41.8,45,Cloudy
04:55,92,41.8,46,Partly Cloudy
05:00,92,41.9,46,Clear
05:05,93,41.9,47,Partly Cloudy
05:10,93,42.0,47,Partly Cloudy
05:15,93,42.0,48,Cloudy
05:20,93,42.1,48,Clear
05:25,94,42.1,49,Partly Cloudy
05:30,94,42.2,50,Partly Cloudy
05:35,94,42.2,51,Sunny
05:40,95,42.3,51,Clear
05:45,95,42.3,52,Sunny
05:50,95,42.4,52,Partly Cloudy
05:55,95,42.4,53,Cloudy
06:00,96,42.5,54,Sunny
06:05,96,42.5,55,Clear
06:10,96,42.6,55,Cloudy
06:15,97,42.6,56,Partly Cloudy
06:20,97,42.7,56,Clear
06:25,97,42.8,57,Cloudy
06:30,98,42.8,57,Sunny
06:35,98,42.9,58,Clear
06:40,98,42.9,58,Clear
06:45,98,43.0,59,Sunny
06:50,99,43.0,59,Sunny
06:55,99,43.1,60,Sunny
07:00,99,43.1,61,Cloudy
07:05,100,43.2,62,Cloudy
07:10,100,43.3,62,Cloudy
07:15,100,43.3,63,Cloudy
07:20,100,43.4,63,Cloudy
07:25,101,43.4,64,Clear
07:30,101,43.5,65,Clear
07:35,102,43.5,65,Sunny
07:40,102,43.6,66,Cloudy
07:45,102,43.6,67,Cloudy
07:50,102,43.7,68,Sunny
07:55,102,43.8,68,Cloudy
08:00,103,43.8,69,Partly Cloudy
08:05,103,43.9,69,Cloudy
08:10,103,43.9,70,Sunny
08:15,104,44.0,70,Cloudy
08:20,104,44.0,71,Sunny
08:25,104,44.0,72,Partly Cloudy
08:30,105,44.0,72,Partly Cloudy
08:35,105,44.0,73,Sunny
08:40,105,44.0,74,Clear
08:45,106,44.0,75,Sunny
08:50,106,44.0,76,Sunny
08:55,106,44.0,77,Sunny
09:00,107,44.0,77,Partly Cloudy
09:05,107,44.0,78,Partly Cloudy
09:10,107,44.0,79,Clear
09:15,107,44.0,79,Sunny
09:20,108,44.0,80,Cloudy
09:25,108,44.0,80,Partly Cloudy
09:30,108,44.0,81,Partly Cloudy
09:35,109,44.0,82,Clear
09:40,109,44.0,82,Partly Cloudy
09:45,109,44.0,83,Partly Cloudy
09:50,109,44.0,84,Sunny
09:55,110,44.0,85,Partly Cloudy
10:00,110,44.0,85,Sunny
10:05,110,44.0,86,Sunny
10:10,110,44.0,87,Sunny
10:15,111,44.0,87,Clear
10:20,111,44.0,88,Sunny
10:25,111,44.0,89,Clear
10:30,111,44.0,90,Cloudy
10:35,112,44.0,90,Partly Cloudy
10:40,112,44.0,91,Partly Cloudy
10:45,113,44.0,92,Cloudy
10:50,113,44.0,93,Cloudy
10:55,113,44.0,94,Clear
11:00,114,44.0,95,Clear
11:05,114,44.0,95,Sunny
11:10,114,44.0,96,Sunny
11:15,115,44.0,97,Clear
11:20,115,44.0,97,Cloudy
11:25,115,44.0,98,Partly Cloudy
11:30,115,44.0,99,Clear
11:35,116,44.0,100,Partly Cloudy
11:40,116,44.0,100,Clear
11:45,116,44.0,101,Clear
11:50,117,44.0,102,Partly Cloudy
11:55,117,44.0,103,Cloudy
12:00,117,44.0,103,Clear
12:05,118,44.0,104,Cloudy
12:10,118,44.0,105,Clear
12:15,118,44.0,105,Sunny
12:20,118,44.0,106,Partly Cloudy
12:25,119,44.0,106,Clear
12:30,119,44.0,107,Partly Cloudy
12:35,119,44.0,108,Partly Cloudy
12:40,119,44.0,108,Clear
12:45,120,44.0,109,Partly Cloudy
12:50,120,44.0,109,Sunny
12:55,121,44.0,110,Sunny
13:00,121,44.0,110,Clear
13:05,121,44.0,111,Clear
13:10,121,44.0,112,Sunny
13:15,122,44.0,112,Cloudy
13:20,122,44.0,112,Partly Cloudy
13:25,123,44.0,113,Clear
13:30,123,44.0,113,Cloudy
13:35,123,44.0,113,Sunny
13:40,124,44.0,113,Partly Cloudy
13:45,124,44.0,113,Clear
13:50,125,44.0,113,Clear
13:55,125,44.0,113,Clear
14:00,125,44.0,113,Cloudy
14:05,125,44.0,113,Clear
14:10,126,44.0,113,Partly Cloudy
14:15,126,44.0,113,Clear
14:20,126,44.0,113,Cloudy
14:25,126,44.0,113,Clear
14:30,127,44.0,113,Cloudy
14:35,127,44.0,113,Clear
14:40,128,44.0,113,Cloudy
14:45,128,44.0,113,Clear
14:50,128,44.0,113,Clear
14:55,129,44.0,113,Partly Cloudy
15:00,129,44.0,113,Sunny
15:05,129,44.0,113,Sunny
15:10,130,44.0,113,Cloudy
15:15,130,44.0,113,Clear
15:20,130,44.0,113,Partly Cloudy
15:25,130,44.0,113,Clear
15:30,131,44.0,113,Clear
15:35,131,44.0,113,Partly Cloudy
15:40,131,44.0,113,Partly Cloudy
15:45,131,44.0,113,Clear
15:50,132,44.0,113,Cloudy
15:55,132,44.0,113,Cloudy
16:00,132,44.0,113,Cloudy
16:05,132,44.0,113,Clear
16:10,132,44.0,113,Partly Cloudy
16:15,133,44.0,113,Partly Cloudy
16:20,133,44.0,113,Cloudy
16:25,134,44.0,113,Partly Cloudy
16:30,134,44.0,113,Clear
16:35,134,44.0,113,Clear
16:40,135,44.0,113,Partly Cloudy
16:45,135,44.0,113,Cloudy
16:50,135,44.0,113,Sunny
16:55,136,44.0,113,Cloudy
17:00,136,44.0,113,Sunny
17:05,137,44.0,113,Clear
17:10,137,44.0,113,Partly Cloudy
17:15,137,44.0,113,Sunny
17:20,138,44.0,113,Sunny
17:25,138,44.0,113,Sunny
17:30,138,44.0,113,Sunny
17:35,138,44.0,113,Clear
17:40,139,44.0,113,Sunny
17:45,139,44.0,113,Partly Cloudy
17:50,140,44.0,113,Partly Cloudy
17:55,140,44.0,113,Partly Cloudy
18:00,140,44.0,113,Cloudy
18:05,140,44.0,113,Cloudy
18:10,140,44.0,113,Sunny
18:15,141,44.0,113,Cloudy
18:20,141,44.0,113,Sunny
18:25,141,44.0,113,Sunny
18:30,142,44.0,113,Clear
18:35,142,44.0,113,Partly Cloudy
18:40,142,44.0,113,Partly Cloudy
18:45,143,44.0,113,Sunny
18:50,143,44.0,113,Sunny
18:55,143,44.0,113,Partly Cloudy
19:00,144,44.0,113,Cloudy
19:05,144,44.0,113,Clear
19:10,144,44.0,113,Sunny
19:15,145,44.0,113,Clear
19:20,145,44.0,113,Cloudy
19:25,145,44.0,113,Cloudy
19:30,146,44.0,113,Partly Cloudy
19:35,146,44.0,113,Cloudy
19:40,146,44.0,113,Clear
19:45,147,44.0,113,Clear
19:50,147,44.0,113,Clear
19:55,147,44.0,113,Cloudy
20:00,148,44.0,113,Clear
20:05,148,44.0,113,Sunny
20:10,148,44.0,113,Cloudy
20:15,149,44.0,113,Partly Cloudy
20:20,149,44.0,113,Sunny
20:25,149,44.0,113,Cloudy
20:30,150,44.0,113,Cloudy
20:35,150,44.0,113,Partly Cloudy
20:40,150,44.0,113,Sunny
20:45,150,44.0,113,Partly Cloudy
20:50,151,44.0,113,Sunny
20:55,151,44.0,113,Cloudy
21:00,152,44.0,113,Clear
21:05,152,44.0,113,Clear
21:10,152,44.0,113,Cloudy
21:15,152,44.0,113,Clear
21:20,153,44.0,113,Cloudy
21:25,153,44.0,113,Cloudy
21:30,154,44.0,113,Cloudy
21:35,154,44.0,113,Clear
21:40,154,44.0,113,Clear
21:45,154,44.0,113,Cloudy
21:50,155,44.0,113,Clear
21:55,155,44.0,113,Clear
22:00,155,44.0,113,Clear
22:05,156,44.0,113,Clear
22:10,156,44.0,113,Partly Cloudy
22:15,157,44.0,113,Clear
22:20,157,44.0,113,Sunny
22:25,157,44.0,113,Sunny
22:30,158,44.0,113,Sunny
22:35,158,44.0,113,Sunny
22:40,158,44.0,113,Partly Cloudy
22:45,158,44.0,113,Clear
22:50,159,44.0,113,Clear
22:55,159,44.0,113,Clear
23:00,159,44.0,113,Clear
23:05,160,44.0,113,Clear
23:10,160,44.0,113,Partly Cloudy
23:15,160,44.0,113,Partly Cloudy
23:20,160,44.0,113,Sunny
23:25,161,44.0,113,Sunny
23:30,161,44.0,113,Partly Cloudy
23:35,161,44.0,113,Partly Cloudy
23:40,162,44.0,113,Sunny
23:45,162,44.0,113,Clear
23:50,162,44.0,113,Clear
23:55,162,44.0,113,Cloudy
