Time,Heart Rate (bpm),Body Temperature (°C),Barking Volume (dB),Weather
00:00,62,38.0,4,Clear
00:05,65,38.1,5,Clear
00:10,68,38.4,0,Clear
00:15,65,38.4,3,Clear
00:20,65,38.5,3,Clear
00:25,66,38.3,3,Clear
00:30,62,38.5,3,Clear
00:35,67,38.1,0,Clear
00:40,64,38.1,3,Clear
00:45,68,38.4,3,Clear
00:50,65,38.0,3,Clear
00:55,68,38.5,2,Clear
01:00,68,38.4,5,Clear
01:05,62,38.3,4,Clear
01:10,69,38.3,5,Clear
01:15,70,38.1,0,Clear
01:20,69,38.3,2,Clear
01:25,64,38.5,5,Clear
01:30,61,38.1,2,Clear
01:35,61,38.1,5,Clear
01:40,68,38.3,1,Clear
01:45,66,38.2,3,Clear
01:50,70,38.1,1,Clear
01:55,60,38.3,1,Clear
02:00,61,38.2,4,Clear
02:05,67,38.5,0,Clear
02:10,64,38.4,5,Clear
02:15,63,38.2,4,Clear
02:20,68,38.4,5,Clear
02:25,68,38.2,4,Clear
02:30,62,38.2,1,Clear
02:35,61,38.1,2,Clear
02:40,65,38.2,2,Clear
02:45,68,38.5,5,Clear
02:50,62,38.4,1,Clear
02:55,61,38.5,0,Clear
03:00,61,38.3,4,Clear
03:05,61,38.3,2,Clear
03:10,66,38.4,4,Clear
03:15,67,38.4,1,Clear
03:20,70,38.2,5,Clear
03:25,70,38.2,1,Clear
03:30,60,38.2,2,Clear
03:35,63,38.4,5,Clear
03:40,64,38.1,4,Clear
03:45,69,38.3,1,Clear
03:50,68,38.4,0,Clear
03:55,63,38.0,3,Clear
04:00,62,38.5,3,Clear
04:05,65,38.1,4,Clear
04:10,68,38.5,5,Clear
04:15,65,38.0,5,Clear
04:20,61,38.1,3,Clear
04:25,63,38.2,2,Clear
04:30,65,38.1,5,Clear
04:35,69,38.5,3,Clear
04:40,70,38.0,0,Clear
04:45,69,38.1,4,Clear
04:50,63,38.2,0,Clear
04:55,66,38.4,3,Clear
05:00,70,38.5,4,Clear
05:05,65,38.4,5,Clear
05:10,66,38.2,2,Clear
05:15,69,38.1,2,Clear
05:20,60,38.5,0,Clear
05:25,61,38.3,4,Clear
05:30,61,38.0,4,Clear
05:35,68,38.1,2,Clear
05:40,63,38.1,1,Clear
05:45,69,38.0,1,Clear
05:50,66,38.4,2,Clear
05:55,69,38.1,2,Clear
06:00,72,38.8,11,Clear
06:05,78,39.0,9,Clear
06:10,77,38.6,6,Sunny
06:15,72,38.8,14,Clear
06:20,73,38.7,7,Sunny
06:25,75,38.7,15,Clear
06:30,76,38.9,15,Clear
06:35,70,38.6,10,Clear
06:40,73,38.7,13,Sunny
06:45,75,38.6,7,Sunny
06:50,71,38.5,9,Sunny
06:55,76,38.9,14,Sunny
07:00,110,39.2,35,Sunny
07:05,109,39.2,29,Clear
07:10,100,39.1,33,Clear
07:15,94,39.4,32,Sunny
07:20,96,39.1,24,Clear
07:25,110,39.4,34,Clear
07:30,90,39.1,23,Clear
07:35,95,39.0,22,Clear
07:40,110,39.2,36,Sunny
07:45,90,39.4,32,Sunny
07:50,100,39.4,31,Clear
07:55,106,39.0,22,Clear
08:00,91,39.4,36,Clear
08:05,99,39.3,24,Clear
08:10,92,39.5,29,Clear
08:15,92,39.4,28,Clear
08:20,93,39.2,27,Sunny
08:25,100,39.4,28,Clear
08:30,107,39.2,29,Sunny
08:35,95,39.1,36,Sunny
08:40,93,39.2,23,Sunny
08:45,107,39.5,40,Clear
08:50,104,39.1,37,Sunny
08:55,94,39.2,40,Sunny
09:00,73,38.7,7,Clear
09:05,78,38.6,7,Sunny
09:10,78,38.7,10,Clear
09:15,78,38.6,5,Clear
09:20,71,38.9,8,Clear
09:25,76,38.6,5,Sunny
09:30,76,38.9,9,Clear
09:35,72,38.9,7,Sunny
09:40,75,38.9,9,Sunny
09:45,78,38.9,5,Clear
09:50,77,39.0,5,Clear
09:55,77,38.8,7,Sunny
10:00,79,38.9,9,Clear
10:05,76,38.9,5,Sunny
10:10,70,38.9,9,Sunny
10:15,76,38.8,7,Sunny
10:20,80,38.9,7,Clear
10:25,70,38.8,7,Sunny
10:30,75,38.8,7,Clear
10:35,75,38.5,6,Clear
10:40,78,38.9,7,Sunny
10:45,76,38.9,5,Clear
10:50,74,38.8,8,Sunny
10:55,80,38.5,9,Sunny
11:00,74,38.8,5,Clear
11:05,78,39.0,7,Sunny
11:10,80,38.7,6,Sunny
11:15,79,38.7,8,Sunny
11:20,75,38.6,7,Sunny
11:25,79,38.8,9,Clear
11:30,70,38.7,10,Sunny
11:35,78,38.8,10,Clear
11:40,77,38.6,5,Sunny
11:45,74,38.5,9,Sunny
11:50,75,38.8,10,Sunny
11:55,76,38.8,7,Sunny
12:00,87,38.9,10,Partly Cloudy
12:05,88,38.7,15,Partly Cloudy
12:10,87,38.9,11,Partly Cloudy
12:15,90,38.9,13,Partly Cloudy
12:20,83,38.5,13,Cloudy
12:25,82,38.6,13,Partly Cloudy
12:30,90,38.6,16,Partly Cloudy
12:35,90,39.0,16,Cloudy
12:40,85,38.9,16,Cloudy
12:45,90,38.8,17,Partly Cloudy
12:50,82,38.7,13,Partly Cloudy
12:55,83,38.7,18,Cloudy
13:00,81,38.8,11,Cloudy
13:05,90,38.5,13,Partly Cloudy
13:10,86,38.9,13,Cloudy
13:15,89,39.0,19,Partly Cloudy
13:20,82,38.9,10,Cloudy
13:25,90,38.5,17,Partly Cloudy
13:30,86,38.5,20,Cloudy
13:35,85,38.5,10,Cloudy
13:40,84,38.7,15,Cloudy
13:45,88,38.9,18,Cloudy
13:50,80,38.8,13,Partly Cloudy
13:55,86,38.8,20,Cloudy
14:00,84,38.8,11,Partly Cloudy
14:05,83,38.8,15,Cloudy
14:10,90,38.6,14,Partly Cloudy
14:15,80,38.8,14,Cloudy
14:20,82,38.9,15,Cloudy
14:25,90,38.7,18,Partly Cloudy
14:30,88,38.5,17,Cloudy
14:35,86,38.6,17,Partly Cloudy
14:40,86,38.9,13,Partly Cloudy
14:45,80,38.7,15,Cloudy
14:50,83,38.5,16,Cloudy
14:55,81,38.6,14,Partly Cloudy
15:00,77,38.6,5,Partly Cloudy
15:05,71,38.7,8,Partly Cloudy
15:10,72,38.7,6,Cloudy
15:15,75,39.0,9,Partly Cloudy
15:20,78,38.6,8,Partly Cloudy
15:25,73,38.6,5,Partly Cloudy
15:30,71,38.9,5,Partly Cloudy
15:35,77,38.8,9,Cloudy
15:40,79,38.7,7,Cloudy
15:45,71,38.6,9,Cloudy
15:50,79,38.6,5,Partly Cloudy
15:55,75,39.0,6,Partly Cloudy
16:00,73,38.7,6,Cloudy
16:05,72,38.5,5,Partly Cloudy
16:10,79,38.9,10,Cloudy
16:15,79,38.9,6,Cloudy
16:20,80,38.8,8,Partly Cloudy
16:25,78,38.6,10,Cloudy
16:30,70,38.5,9,Cloudy
16:35,74,38.8,8,Cloudy
16:40,77,38.7,10,Cloudy
16:45,71,38.9,5,Cloudy
16:50,77,38.9,9,Partly Cloudy
16:55,77,38.8,6,Partly Cloudy
17:00,70,38.8,15,Cloudy
17:05,78,38.6,6,Partly Cloudy
17:10,78,38.9,15,Partly Cloudy
17:15,75,38.9,8,Partly Cloudy
17:20,74,38.7,8,Partly Cloudy
17:25,73,39.0,9,Partly Cloudy
17:30,80,39.0,11,Partly Cloudy
17:35,80,39.0,7,Partly Cloudy
17:40,80,38.5,6,Partly Cloudy
