Time,Heart Rate (bpm),Body Temperature (°C),Barking Volume (dB),Weather
00:00,75,39.5,1,Clear
00:05,83,39.2,5,Clear
00:10,82,39.3,7,Clear
00:15,78,39.3,5,Clear
00:20,81,39.2,10,Clear
00:25,76,39.6,0,Clear
00:30,84,39.8,9,Clear
00:35,82,39.3,0,Clear
00:40,83,39.7,1,Clear
00:45,75,39.4,2,Clear
00:50,81,39.2,3,Clear
00:55,85,39.7,8,Clear
01:00,80,39.6,9,Clear
01:05,75,39.3,10,Clear
01:10,77,39.6,10,Clear
01:15,82,39.2,0,Clear
01:20,81,39.6,8,Clear
01:25,75,39.7,8,Clear
01:30,75,39.7,7,Clear
01:35,85,39.1,4,Clear
01:40,78,39.2,3,Clear
01:45,83,39.8,8,Clear
01:50,84,39.4,8,Clear
01:55,85,39.7,9,Clear
02:00,75,39.8,9,Clear
02:05,85,39.7,7,Clear
02:10,79,39.0,8,Clear
02:15,77,39.0,2,Clear
02:20,81,39.9,10,Clear
02:25,82,39.5,0,Clear
02:30,77,39.5,0,Clear
02:35,79,39.1,0,Clear
02:40,76,39.5,6,Clear
02:45,75,39.5,9,Clear
02:50,85,39.7,4,Clear
02:55,84,39.6,2,Clear
03:00,83,39.7,8,Clear
03:05,75,39.2,5,Clear
03:10,78,39.8,2,Clear
03:15,80,39.7,5,Clear
03:20,82,39.4,10,Clear
03:25,77,39.5,2,Clear
03:30,79,39.2,4,Clear
03:35,77,39.4,6,Clear
03:40,77,39.1,5,Clear
03:45,81,39.9,0,Clear
03:50,83,39.1,3,Clear
03:55,82,39.4,4,Clear
04:00,82,39.4,9,Clear
04:05,80,39.3,6,Clear
04:10,83,39.5,0,Clear
04:15,82,39.3,8,Clear
04:20,80,39.6,0,Clear
04:25,84,39.6,10,Clear
04:30,77,39.2,10,Clear
04:35,75,39.6,1,Clear
04:40,80,39.3,4,Clear
04:45,81,39.0,6,Clear
04:50,81,39.4,0,Clear
04:55,82,39.8,0,Clear
05:00,85,39.3,6,Clear
05:05,81,39.1,5,Clear
05:10,81,39.0,8,Clear
05:15,76,39.1,9,Clear
05:20,75,39.3,1,Clear
05:25,83,39.3,2,Clear
05:30,76,39.4,7,Clear
05:35,78,39.2,0,Clear
05:40,78,39.5,9,Clear
05:45,82,39.6,0,Clear
05:50,80,39.5,6,Clear
05:55,79,39.9,7,Clear
06:00,85,39.7,5,Sunny
06:05,89,40.1,12,Clear
06:10,85,40.0,5,Clear
06:15,85,40.1,8,Sunny
06:20,90,40.0,6,Clear
06:25,88,40.2,7,Sunny
06:30,84,40.2,5,Clear
06:35,88,39.9,8,Sunny
06:40,89,40.0,8,Clear
06:45,80,40.0,8,Sunny
06:50,89,39.9,13,Sunny
06:55,83,39.8,15,Sunny
07:00,105,39.9,17,Sunny
07:05,119,40.3,15,Sunny
07:10,113,40.4,15,Clear
07:15,101,40.2,19,Sunny
07:20,107,39.7,16,Clear
07:25,119,40.2,20,Sunny
07:30,116,40.0,19,Clear
07:35,106,40.0,18,Sunny
07:40,100,40.3,20,Sunny
07:45,119,40.5,15,Clear
07:50,106,40.4,12,Sunny
07:55,114,40.5,10,Clear
08:00,105,40.5,13,Clear
08:05,108,40.1,15,Clear
08:10,101,39.7,14,Clear
08:15,118,40.4,10,Clear
08:20,105,40.4,11,Clear
08:25,114,40.0,17,Sunny
08:30,112,39.6,12,Sunny
08:35,105,39.8,18,Sunny
08:40,113,39.8,14,Sunny
08:45,110,40.4,17,Clear
08:50,100,40.4,16,Sunny
08:55,108,39.8,15,Clear
09:00,90,39.8,7,Sunny
09:05,86,39.5,8,Sunny
09:10,92,39.7,8,Clear
09:15,91,39.4,8,Sunny
09:20,88,39.9,6,Sunny
09:25,94,39.9,8,Sunny
09:30,85,39.4,10,Sunny
09:35,93,40.0,6,Sunny
09:40,86,39.6,10,Clear
09:45,92,39.6,10,Sunny
09:50,95,39.5,8,Sunny
09:55,94,39.3,7,Sunny
10:00,93,39.5,9,Clear
10:05,92,39.9,5,Sunny
10:10,86,39.9,5,Clear
10:15,89,39.8,8,Sunny
10:20,93,39.3,7,Sunny
10:25,95,39.8,7,Sunny
10:30,90,39.5,8,Clear
10:35,85,39.3,10,Clear
10:40,86,40.0,9,Sunny
10:45,90,39.5,7,Clear
10:50,86,39.3,5,Clear
10:55,95,39.7,6,Sunny
11:00,85,39.5,9,Clear
11:05,87,39.5,9,Sunny
11:10,92,40.0,6,Sunny
11:15,94,39.8,8,Clear
11:20,94,39.6,8,Sunny
11:25,87,39.8,10,Clear
11:30,87,39.7,6,Clear
11:35,95,39.9,10,Clear
11:40,95,39.4,6,Sunny
11:45,94,39.4,8,Clear
11:50,92,39.7,8,Sunny
11:55,85,39.5,7,Sunny
12:00,91,39.2,6,Cloudy
12:05,97,39.8,10,Partly Cloudy
12:10,96,39.7,9,Partly Cloudy
